date,Impact energy (kt),Velocity (kps),altitude (km),coord
2/21/2016,0.96,0,32,"(('36.5', 'N'), ('37.2', 'W'))"
2/19/2016,0.56,15.5,39.4,"(('0.7', 'N'), ('11.6', 'W'))"
2/13/2016,0.17,0,0,"(('3.1', 'N'), ('117.9', 'E'))"
2/6/2016,13,15.6,31,"(('30.4', 'S'), ('25.5', 'W'))"
1/27/2016,0.16,11.5,37,"(('45.8', 'S'), ('53.6', 'E'))"
1/21/2016,0.15,18.1,42.5,"(('10.8', 'S'), ('0.7', 'E'))"
12/30/2015,0.079,0,39,"(('33.8', 'N'), ('160.7', 'W'))"
12/21/2015,0.26,12.1,42.2,"(('5.9', 'N'), ('143.0', 'E'))"
12/8/2015,0.55,0,38,"(('69.9', 'S'), ('150.5', 'E'))"
11/13/2015,0.31,0,28,"(('16.0', 'N'), ('124.3', 'E'))"
11/2/2015,0.24,0,37,"(('41.4', 'S'), ('33.0', 'E'))"
10/31/2015,0.29,0,71,"(('9.0', 'N'), ('138.0', 'W'))"
10/30/2015,0.51,0,0,"(('85.0', 'S'), ('161.7', 'W'))"
10/13/2015,0.082,12.9,38.9,"(('8.0', 'S'), ('52.5', 'W'))"
10/11/2015,0.1,0,0,"(('55.4', 'S'), ('18.8', 'W'))"
10/10/2015,0.12,11.8,51.8,"(('51.0', 'S'), ('21.1', 'W'))"
10/4/2015,0.15,0,36.1,"(('22.0', 'N'), ('171.6', 'W'))"
9/17/2015,0.3,0,0,"(('43.1', 'S'), ('94.9', 'E'))"
9/14/2015,0.22,0,0,"(('5.8', 'N'), ('15.2', 'W'))"
9/8/2015,0.073,16.1,44.4,"(('6.3', 'N'), ('29.9', 'E'))"
9/7/2015,3.9,21,29.3,"(('14.5', 'N'), ('98.9', 'E'))"
9/2/2015,0.13,24.1,39.8,"(('39.1', 'N'), ('40.2', 'E'))"
8/4/2015,0.1,0,0,"(('9.6', 'S'), ('125.9', 'E'))"
7/19/2015,0.082,17.8,22,"(('20.6', 'N'), ('87.6', 'W'))"
7/12/2015,0.079,0,41,"(('31.0', 'N'), ('159.6', 'E'))"
7/4/2015,0.18,49,46.3,"(('38.6', 'N'), ('103.1', 'E'))"
6/14/2015,0.22,31.9,32.4,"(('6.3', 'N'), ('124.1', 'E'))"
6/12/2015,0.5,0,43.5,"(('1.3', 'S'), ('32.1', 'W'))"
6/10/2015,1,0,61.1,"(('11.5', 'S'), ('161.9', 'W'))"
6/2/2015,0.99,0,0,"(('6.4', 'S'), ('142.7', 'W'))"
5/20/2015,0.12,0,32.4,"(('1.0', 'N'), ('172.6', 'E'))"
5/18/2015,0.14,0,29,"(('32.4', 'N'), ('139.1', 'E'))"
5/10/2015,0.42,12.2,29.6,"(('46.3', 'S'), ('179.3', 'W'))"
5/7/2015,0.17,17.3,37,"(('21.5', 'S'), ('29.3', 'W'))"
